results.date,b.1.617.2,ay.103,ay.119,ay.25,ay.3,ay.39,ay.44,other
2021-01-02,0.008684324793747287,0.060790273556231005,NA,0,0,NA,0,99.93052540165003
2021-01-03,0.008662883874041669,0.03032009355914584,NA,0,0,NA,0,99.961017022566807
2021-01-04,0.0073549241216994765,0.01716148961729878,NA,0,0,NA,0.014709848243398953,99.96077373801761
2021-01-05,0.006721898264069773,0.011763321962122103,NA,0,0,NA,0.020165694792209317,99.9613490849816
2021-01-06,0.006391246548726864,0.00894774516821761,NA,0,0,NA,0.025564986194907456,99.95909602208816
2021-01-07,0.0060749035609059705,0.007087387487723631,NA,0,0,NA,0.024299614243623882,99.96253809470775
2021-01-08,0.005672793283412752,0.005672793283412752,NA,0,0,NA,0.02269117313365101,99.96596324029953
2021-01-09,0,0,NA,0,0,NA,0.022120223414256485,99.97787977658575
2021-01-10,0,0,NA,0,0,0.03952345999661228,0.022584834283778443,99.93789170571962
2021-01-11,0,0,NA,0,0,0.0216456909613779,0.012368966263644513,99.96598534277497
2021-01-12,0,0,NA,0,0,0.015078732524826055,0.006462313939211166,99.97845895353596
2021-01-13,0,0,NA,0,0,0.011116934267155813,0,99.98888306573285
2021-01-14,0.006008243309821074,0.006008243309821074,0.042057703168747525,0.012016486619642148,0.012016486619642148,0.01682308126749901,0.024032973239284296,99.88103678246554
2021-01-15,0.010690708883088188,0.005345354441544094,0.01870874054540433,0.010690708883088188,0.010690708883088188,0.01247249369693622,0.021381417766176376,99.91001986690068
2021-01-16,0.010400235738676744,0.005200117869338372,0.012133608361789533,0.010400235738676744,0.010400235738676744,0.010400235738676744,0.020800471477353488,99.92026485933681
2021-01-17,0.010151382491403047,0.005075691245701524,0.008882459679977667,0.010151382491403047,0.010151382491403047,0.005075691245701524,0.020302764982806094,99.9302092453716
2021-01-18,0.010087560020982125,0.005043780010491062,0.007061292014687488,0.010087560020982125,0.010087560020982125,0.005043780010491062,0.02017512004196425,99.93241334785942
2021-01-19,0.009471416055628783,0.004735708027814391,0.00552499269911679,0.009471416055628783,0.014207124083443176,0.004735708027814391,0.018942832111257565,99.93291080293929
2021-01-20,0.009476427386875147,0.004738213693437574,0.004738213693437574,0.009476427386875147,0.014214641080312722,0.004738213693437574,0.018952854773750295,99.93366500829187
2021-01-21,0.004833486393735801,0,0,0,0.004833486393735801,0,0,99.99033302721251
2021-01-22,0,0,0,0,0.005349596105494034,0,0,99.9946504038945
2021-01-23,0,0,0,0,0.005737563830397612,0,0,99.99426243616959
2021-01-24,0.005820044232336164,0,0,0,0.005820044232336164,0,0,99.98835991153531
2021-01-25,0.006017209218364522,0,0,0,0.006017209218364522,0,0,99.98796558156326
2021-01-26,0.006648494116082707,0,0,0,0,0,0,99.99335150588391
2021-01-27,0.006635259770420012,0,0,0,0,0,0,99.99336474022957
2021-01-28,0.006564264145989233,0,0,0,0,0,0,99.99343573585399
2021-01-29,0.006469142191745373,0,0,0,0,0,0,99.99353085780824
2021-01-30,0.0062758880381573985,0,0,0,0,0,0,99.99372411196184
2021-01-31,0,0,0,0,0,0,0,100
2021-02-01,0,0.005966231131794045,0,0,0,0,0,99.99403376886819
2021-02-02,0,0.005784024524263982,0,0,0,0,0,99.99421597547573
2021-02-03,0,0.005747787101965741,0,0,0,0,0.005747787101965741,99.98850442579605
2021-02-04,0,0.005873370139786208,0,0,0,0,0.005873370139786208,99.98825325972042
2021-02-05,0,0.005848979353102882,0,0,0,0,0.005848979353102882,99.98830204129378
2021-02-06,0,0.005881315062047873,0,0,0,0,0.005881315062047873,99.98823736987589
2021-02-07,0,0.006024096385542167,0,0,0,0,0.006024096385542167,99.98795180722891
2021-02-08,0,0,0,0,0,0.0058944886531093425,0.0058944886531093425,99.98821102269379
2021-02-09,0,0,0,0,0,0.005631264782070053,0.005631264782070053,99.98873747043586
2021-02-10,0,0,0,0,0,0.005494807407000384,0,99.994505192593
